feat0,depth,distance,MMAP
color,None,d1,0.18339217082313966
color,300,d1,0.20705819436873996
color,200,d1,0.23769830490493443
color,100,d1,0.28542509084987394
color,50,d1,0.3414140186048841
color,30,d1,0.37697217741234423
color,10,d1,0.4435794504283195
color,5,d1,0.45348333333333335
color,3,d1,0.45483333333333337
color,1,d1,0.42199999999999993
daisy,None,d1,0.1509681065786348
daisy,300,d1,0.17929764629294995
daisy,200,d1,0.2075898094146034
daisy,100,d1,0.25577417186156
daisy,50,d1,0.3214381971485489
daisy,30,d1,0.3624875567026378
daisy,10,d1,0.443760447845805
daisy,5,d1,0.4692611111111111
daisy,3,d1,0.46366666666666667
daisy,1,d1,0.414
edge,None,d1,0.07644062502709063
edge,300,d1,0.09812314159073736
edge,200,d1,0.12154445084632201
edge,100,d1,0.16934721954734155
edge,50,d1,0.20834389863787325
edge,30,d1,0.24173126441331658
edge,10,d1,0.2745951360544217
edge,5,d1,0.2783611111111111
edge,3,d1,0.2656666666666666
edge,1,d1,0.22200000000000003
hog,None,d1,0.1347845262658503
hog,300,d1,0.16237047649500475
hog,200,d1,0.18858564773257797
hog,100,d1,0.2360168271639057
hog,50,d1,0.28474457551913523
hog,30,d1,0.3284463297806505
hog,10,d1,0.3946219387755102
hog,5,d1,0.40420833333333334
hog,3,d1,0.4065000000000001
hog,1,d1,0.35200000000000004
vgg,None,d1,0.6184906237499505
vgg,300,d1,0.6399720418581235
vgg,200,d1,0.6609564414411634
vgg,100,d1,0.7087493137787797
vgg,50,d1,0.7649042108703747
vgg,30,d1,0.8025200590639269
vgg,10,d1,0.8928593109095488
vgg,5,d1,0.9192138888888889
vgg,3,d1,0.9298333333333333
vgg,1,d1,0.92
res,None,d1,0.7530005445600314
res,300,d1,0.7589074995322956
res,200,d1,0.7691196230509579
res,100,d1,0.7964422652363106
res,50,d1,0.8328358239156368
res,30,d1,0.8662757928037301
res,10,d1,0.9316786061339364
res,5,d1,0.9496057113967332
res,3,d1,0.9555331644619569
res,1,d1,0.9542518372580292